prime,trace
15053,-102
15061,-198
15073,150
15077,126
15083,-72
15091,-36
15101,0
15107,41
15121,-76
15131,-144
15137,-88
15139,46
15149,16
15161,180
15173,210
15187,-83
15193,122
15199,-97
15217,18
15227,-80
15233,-62
15241,232
15259,-100
15263,-24
15269,120
15271,104
15277,45
15287,-92
15289,-24
15299,-186
15307,50
15313,113
15319,38
15329,-108
15331,-172
15349,210
15359,-90
15361,118
15373,11
15377,127
15383,10
15391,47
15401,53
15413,-176
15427,47
15439,9
15443,109
15451,-76
15461,186
15467,188
15473,87
15493,199
15497,61
15511,-79
15527,-42
15541,183
15551,-75
15559,144
15569,-207
15581,-130
15583,-146
15601,2
15607,112
15619,-13
15629,-121
15641,-215
15643,-242
15647,-23
15649,138
15661,12
15667,-42
15671,-35
15679,-115
15683,-44
15727,48
15731,61
15733,191
15737,-6
15739,-104
15749,-48
15761,-222
15767,36
15773,-39
15787,90
15791,-214
15797,216
15803,-54
15809,-105
15817,130
15823,-140
15859,60
15877,84
15881,241
15887,-80
15889,48
15901,-84
15907,-59
15913,-35
15919,-67
15923,58
15937,-72
15959,-204
15971,-186
15973,-173
15991,-217
16001,66
16007,63
16033,-216
16057,20
16061,-182
16063,-64
16067,-194
16069,161
16073,-60
16087,188
16091,-99
16097,84
16103,164
16111,218
16127,41
16139,-86
16141,70
16183,-182
16187,138
16189,162
16193,216
16217,-239
16223,54
16229,-204
16231,-128
16249,-52
16253,155
16267,-134
16273,151
16301,-146
16319,203
16333,-137
16339,-211
16349,155
16361,150
16363,189
16369,-126
16381,124
16411,-61
16417,29
16421,-108
16427,-60
16433,-57
16447,-72
16451,135
16453,-36
16477,-194
16481,37
16487,218
16493,-36
16519,104
16529,-4
16547,-237
16553,-74
16561,-170
16567,34
16573,36
16603,-4
16607,-88
16619,126
16631,168
16633,-189
16649,39
16651,155
16657,-82
16661,237
16673,-131
16691,-79
16693,-28
16699,-216
16703,24
16729,70
16741,58
16747,-55
16759,-156
16763,153
16787,208
16811,-20
16823,1
16829,5
16831,8
16843,-158
16871,101
16879,82
16883,-60
16889,-12
16901,210
16903,120
16921,-28
16927,-78
16931,-90
16937,-75
16943,-21
16963,209
16979,-109
16981,136
16987,-113
16993,-232
17011,238
17021,-63
17027,-12
17029,-107
17033,220
17041,-102
17047,227
17053,-126
17077,-186
17093,-34
17099,-47
17107,-173
17117,117
17123,-177
17137,82
17159,-102
17167,-88
17183,249
17189,159
17191,114
17203,120
17207,240
17209,-154
17231,-110
17239,210
17257,99
17291,-36
17293,-72
17299,125
17317,-14
17321,-163
17327,-104
17333,-120
17341,-62
17351,-92
17359,70
17377,208
17383,-57
17387,-116
17389,112
17393,171
17401,-188
17417,162
17419,-193
17431,80
17443,145
17449,162
17467,-4
17471,4
17477,-107
17483,-62
17489,-63
17491,-112
17497,68
17509,218
17519,-136
17539,146
17551,-127
17569,245
17573,99
17579,105
17581,-253
17597,-2
17599,-51
17609,-92
17623,196
17627,-65
17657,174
17659,170
17669,-6
17681,221
17683,-185
17707,4
17713,-62
17729,6
17737,187
17747,-206
17749,-134
17761,185
17783,-189
17789,-204
17791,28
17807,219
17827,-109
17837,92
17839,-193
17851,130
17863,182
17881,-71
17891,-28
17903,216
17909,72
17911,-63
17921,234
17923,166
17929,-130
17939,188
17957,-67
17959,128
17971,-212
17977,78
17981,193
17987,141
17989,-207
